,Time,NVT_Ratio
0,18/08/10,4819.95605889
1,20/08/10,2846.91013797
2,22/08/10,1911.41110266
3,24/08/10,1715.31883582
4,26/08/10,1454.35179465
5,28/08/10,1194.04412834
6,30/08/10,1169.93530928
7,01/09/10,1037.29546757
8,03/09/10,879.447589624
9,05/09/10,821.50130217
10,07/09/10,738.853131447
11,09/09/10,701.237350517
12,11/09/10,676.382677448
13,13/09/10,626.471547192
14,15/09/10,1405.47013588
15,17/09/10,455.892972973
16,19/09/10,420.708443915
17,21/09/10,409.16749117
18,23/09/10,367.130425056
19,25/09/10,353.909529023
20,27/09/10,339.90903913
21,29/09/10,300.966041005
22,01/10/10,284.152694275
23,03/10/10,193.998274987
24,05/10/10,180.444908609
25,07/10/10,165.586959432
26,09/10/10,262.052191135
27,11/10/10,267.707288033
28,13/10/10,192.268860935
29,15/10/10,224.977691692
30,17/10/10,190.529247104
31,19/10/10,183.194247716
32,21/10/10,184.853658205
33,23/10/10,181.774383651
34,25/10/10,242.591854607
35,27/10/10,269.406466804
36,29/10/10,244.594352965
37,31/10/10,244.456660895
38,02/11/10,234.114790364
39,04/11/10,243.266379291
40,06/11/10,262.979172324
41,08/11/10,212.587369089
42,10/11/10,151.384772581
43,12/11/10,141.928276682
44,14/11/10,167.361587334
45,16/11/10,151.775850114
46,18/11/10,155.399856087
47,20/11/10,151.007446515
48,22/11/10,147.023542416
49,24/11/10,145.491688478
50,26/11/10,141.251905963
51,28/11/10,138.532477936
52,30/11/10,131.657310899
53,02/12/10,117.167947581
54,04/12/10,119.452324467
55,06/12/10,101.239868953
56,08/12/10,110.491349787
57,10/12/10,90.946867535
58,12/12/10,101.58615537
59,14/12/10,101.430218364
60,16/12/10,108.859035946
61,18/12/10,109.498484297
62,20/12/10,121.408157821
63,22/12/10,115.4004264
64,24/12/10,108.626387852
65,26/12/10,117.543977318
66,28/12/10,120.572152725
67,30/12/10,128.993441232
68,01/01/11,128.976317812
69,03/01/11,132.905694428
70,05/01/11,133.289865329
71,07/01/11,144.490368676
72,09/01/11,148.116760654
73,11/01/11,149.854439227
74,13/01/11,181.499766177
75,15/01/11,175.723272076
76,17/01/11,170.992265767
77,19/01/11,142.894476529
78,21/01/11,184.505451029
79,23/01/11,181.833829879
80,25/01/11,172.932636656
81,27/01/11,123.275875068
82,29/01/11,133.271318224
83,31/01/11,149.203191415
84,02/02/11,232.877314769
85,04/02/11,246.11847416
86,06/02/11,259.994359097
87,08/02/11,291.293623472
88,10/02/11,328.560135544
89,12/02/11,313.858836456
90,14/02/11,303.869315076
91,16/02/11,292.483775208
92,18/02/11,285.722729547
93,20/02/11,256.006750694
94,22/02/11,228.321237321
95,24/02/11,244.633768083
96,26/02/11,248.678275581
97,28/02/11,235.28144435
98,02/03/11,217.740232169
99,04/03/11,210.864403926
100,06/03/11,200.296085788
101,08/03/11,196.609254107
102,10/03/11,173.381283002
103,12/03/11,176.026606923
104,14/03/11,158.455016731
105,16/03/11,151.567267232
106,18/03/11,140.351181663
107,20/03/11,128.355400049
108,22/03/11,125.528948189
109,24/03/11,134.898438307
110,26/03/11,128.733736042
111,28/03/11,118.760482209
112,30/03/11,108.455456056
113,01/04/11,107.772345103
114,03/04/11,105.892693593
115,05/04/11,92.434171117
116,07/04/11,97.9622021308
117,09/04/11,96.2546223925
118,11/04/11,96.7941926256
119,13/04/11,120.814559661
120,15/04/11,127.056433489
121,17/04/11,95.6954432269
122,19/04/11,64.213966286
123,21/04/11,64.0591430706
124,23/04/11,81.1982702751
125,25/04/11,88.4464643667
126,27/04/11,99.920905115
127,29/04/11,131.341521402
128,01/05/11,189.064863088
129,03/05/11,153.915007811
130,05/05/11,150.209537266
131,07/05/11,151.333946746
132,09/05/11,155.669118294
133,11/05/11,220.067236517
134,13/05/11,229.328353404
135,15/05/11,191.176909167
